,5c9c7cc072bf7f0017b6b798
Pond11Fish11_TotalOutcome,849
Pond11Fish11_TimeLeft,210.317
Type,RT
FishN,14
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,1.037
Pond11Fish12_PondTime,99.752
Pond11Fish12_PondOutcome,120
Pond11Fish12_TotalOutcome,859
Pond11Fish12_TimeLeft,197.95
Type,RT
FishN,14
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,1.545
Pond11Fish13_PondTime,114.131
Pond11Fish13_PondOutcome,130
Pond11Fish13_TotalOutcome,869
Pond11Fish13_TimeLeft,183.571
Type,RT
FishN,14
Fish,14
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,1
Pond11Fish14_PondTime,131.493
Pond11Fish14_PondOutcome,140
Pond11Fish14_TotalOutcome,879
Pond11Fish14_TimeLeft,166.209
Type,RT
FishN,14
Fish,15
Pond11Fish15_FishType,purple
Pond11Fish15_FishLatency,15
Pond11Fish15_CatchTime,1.219
Pond11Fish15_PondTime,153.857
Pond11Fish15_PondOutcome,150
Pond11Fish15_TotalOutcome,889
Pond11Fish15_TimeLeft,143.845
Type,RT
FishN,14
Fish,16
Pond11Fish16_FishType,purple
Pond11Fish16_FishLatency,20
Pond11Fish16_CatchTime,0.945
Pond11Fish16_PondTime,186.218
Pond11Fish16_PondOutcome,160
Pond11Fish16_TotalOutcome,899
Pond11Fish16_TimeLeft,111.484
PondEnd_LastFish,16
FishN,14
Type,RT
GiveUpTime,1.012
PondTime,186.388
TimeLeft,110.804
PondOutcome,160
TotalOutcome,899
PondStart,PondStart
